district,sub_district,area_sqft,bhk,property_type,furnishing,price
Noida,Sector 1,900,2,Apartment,Semi-Furnished,6800000
Noida,Sector 2,1000,2,Apartment,Semi-Furnished,7200000
Noida,Sector 3,1100,3,Apartment,Fully Furnished,8500000
Noida,Sector 4,850,2,Apartment,Unfurnished,6200000
Noida,Sector 5,950,2,Apartment,Semi-Furnished,6800000
Noida,Sector 15,1200,3,Apartment,Fully Furnished,9200000
Noida,Sector 16,1100,2,Apartment,Semi-Furnished,8200000
Noida,Sector 17,1000,2,Apartment,Semi-Furnished,7500000
Noida,Sector 18,1300,3,Apartment,Fully Furnished,9800000
Noida,Sector 19,950,2,Apartment,Unfurnished,6800000
Noida,Sector 25,1150,3,Apartment,Semi-Furnished,8500000
Noida,Sector 26,1000,2,Apartment,Semi-Furnished,7200000
Noida,Sector 27,1200,3,Apartment,Fully Furnished,8800000
Noida,Sector 28,900,2,Apartment,Semi-Furnished,6500000
Noida,Sector 29,1400,4,Apartment,Fully Furnished,10500000
Noida,Sector 34,1100,3,Apartment,Semi-Furnished,8200000
Noida,Sector 35,1000,2,Apartment,Semi-Furnished,7500000
Noida,Sector 36,1250,3,Apartment,Fully Furnished,9200000
Noida,Sector 37,950,2,Apartment,Unfurnished,6800000
Noida,Sector 38,1300,3,Apartment,Semi-Furnished,9500000
Noida,Sector 44,1200,3,Apartment,Fully Furnished,8800000
Noida,Sector 45,1100,2,Apartment,Semi-Furnished,8000000
Noida,Sector 46,1000,2,Apartment,Semi-Furnished,7200000
Noida,Sector 47,1350,4,Apartment,Fully Furnished,10200000
Noida,Sector 48,950,2,Apartment,Semi-Furnished,6800000
Noida,Sector 50,1400,4,Villa,Semi-Furnished,11200000
Noida,Sector 51,1200,3,Apartment,Fully Furnished,8800000
Noida,Sector 52,1100,3,Apartment,Semi-Furnished,8200000
Noida,Sector 53,1000,2,Apartment,Semi-Furnished,7500000
Noida,Sector 54,1250,3,Apartment,Fully Furnished,9200000
Noida,Sector 61,1300,3,Apartment,Semi-Furnished,9500000
Noida,Sector 62,1150,3,Apartment,Fully Furnished,8500000
Noida,Sector 63,1000,2,Apartment,Semi-Furnished,7200000
Noida,Sector 64,1200,3,Apartment,Semi-Furnished,8800000
Noida,Sector 65,950,2,Apartment,Unfurnished,6800000
Noida,Sector 70,1400,4,Apartment,Fully Furnished,10500000
Noida,Sector 71,1200,3,Apartment,Semi-Furnished,8800000
Noida,Sector 72,1100,2,Apartment,Semi-Furnished,8000000
Noida,Sector 73,1000,2,Apartment,Semi-Furnished,7200000
Noida,Sector 74,1300,3,Apartment,Fully Furnished,9800000
Noida,Sector 75,1250,3,Apartment,Semi-Furnished,9200000
Noida,Sector 76,1150,3,Apartment,Fully Furnished,8500000
Noida,Sector 77,1000,2,Apartment,Semi-Furnished,7500000
Noida,Sector 78,1200,3,Apartment,Semi-Furnished,8800000
Noida,Sector 79,950,2,Apartment,Unfurnished,6800000
Noida,Sector 92,1400,4,Villa,Fully Furnished,11500000
Noida,Sector 93,1300,3,Apartment,Semi-Furnished,9500000
Noida,Sector 94,1200,3,Apartment,Fully Furnished,8800000
Noida,Sector 95,1100,2,Apartment,Semi-Furnished,8000000
Noida,Sector 96,1000,2,Apartment,Semi-Furnished,7200000
Noida,Sector 100,1500,4,Villa,Fully Furnished,12500000
Noida,Sector 104,1300,3,Apartment,Semi-Furnished,9800000
Noida,Sector 105,1200,3,Apartment,Fully Furnished,9200000
Noida,Sector 106,1100,2,Apartment,Semi-Furnished,8200000
Noida,Sector 107,1000,2,Apartment,Semi-Furnished,7500000
Noida,Sector 108,1400,4,Apartment,Fully Furnished,10800000
Noida,Sector 110,1250,3,Apartment,Semi-Furnished,9200000
Noida,Sector 111,1150,3,Apartment,Fully Furnished,8500000
Noida,Sector 112,1000,2,Apartment,Semi-Furnished,7200000
Noida,Sector 113,1200,3,Apartment,Semi-Furnished,8800000
Noida,Sector 116,1400,4,Villa,Fully Furnished,11200000
Noida,Sector 117,1300,3,Apartment,Semi-Furnished,9500000
Noida,Sector 118,1200,3,Apartment,Fully Furnished,8800000
Noida,Sector 119,1100,2,Apartment,Semi-Furnished,8000000
Noida,Sector 120,1000,2,Apartment,Semi-Furnished,7200000
Noida,Sector 121,1500,4,Villa,Semi-Furnished,12200000
Noida,Sector 122,1350,4,Apartment,Fully Furnished,10500000
Noida,Sector 123,1200,3,Apartment,Semi-Furnished,8800000
Noida,Sector 124,1100,2,Apartment,Semi-Furnished,8000000
Noida,Sector 125,1000,2,Apartment,Semi-Furnished,7200000
Noida,Sector 126,1400,4,Apartment,Fully Furnished,10800000
Noida,Sector 127,1250,3,Apartment,Semi-Furnished,9200000
Noida,Sector 128,1150,3,Apartment,Fully Furnished,8500000
Noida,Sector 129,1000,2,Apartment,Semi-Furnished,7500000
Noida,Sector 130,1300,3,Apartment,Semi-Furnished,9500000
Noida,Sector 131,1200,3,Apartment,Fully Furnished,8800000
Noida,Sector 132,1100,2,Apartment,Semi-Furnished,8000000
Noida,Sector 133,1000,2,Apartment,Semi-Furnished,7200000
Noida,Sector 134,1400,4,Villa,Fully Furnished,11500000
Noida,Sector 135,1300,3,Apartment,Semi-Furnished,9800000
Noida,Sector 136,1200,3,Apartment,Fully Furnished,9200000
Noida,Sector 137,1100,2,Apartment,Semi-Furnished,8200000
Noida,Sector 138,1000,2,Apartment,Semi-Furnished,7500000
Greater Noida,Alpha I,1300,3,Apartment,Fully Furnished,9200000
Greater Noida,Alpha II,1200,3,Apartment,Semi-Furnished,8500000
Greater Noida,Beta I,1100,2,Apartment,Semi-Furnished,7800000
Greater Noida,Beta II,1000,2,Apartment,Semi-Furnished,7200000
Greater Noida,Gamma I,1400,4,Villa,Fully Furnished,10500000
Greater Noida,Gamma II,1350,4,Apartment,Semi-Furnished,9800000
Greater Noida,Delta I,1200,3,Apartment,Fully Furnished,8800000
Greater Noida,Delta II,1100,2,Apartment,Semi-Furnished,8000000
Greater Noida,Eta I,1000,2,Apartment,Semi-Furnished,7200000
Greater Noida,Eta II,1250,3,Apartment,Fully Furnished,8800000
Greater Noida,Zeta I,1300,3,Apartment,Semi-Furnished,9200000
Greater Noida,Omicron,1150,3,Apartment,Fully Furnished,8200000
Greater Noida,Pi I,1000,2,Apartment,Semi-Furnished,7000000
Greater Noida,Pi II,1200,3,Apartment,Semi-Furnished,8500000
Greater Noida,Sigma I,1400,4,Villa,Fully Furnished,10800000
Greater Noida,Sigma II,1300,3,Apartment,Semi-Furnished,9500000
Greater Noida,Tau,1100,2,Apartment,Semi-Furnished,7800000
Greater Noida,Upsilon,1000,2,Apartment,Semi-Furnished,7200000
Greater Noida,Phi,1250,3,Apartment,Fully Furnished,8800000
Greater Noida,Chi,1200,3,Apartment,Semi-Furnished,8500000
Noida,Film City,1500,4,Villa,Fully Furnished,12800000
Noida,Knowledge Park,1300,3,Apartment,Semi-Furnished,9800000
Noida,Expressway,1400,4,Apartment,Fully Furnished,10500000
Noida,Golf Course,1600,4,Villa,Fully Furnished,13500000
Noida,City Centre,1200,3,Apartment,Fully Furnished,9200000
