district,sub_district,area_sqft,bhk,property_type,furnishing,price
Central Delhi,Connaught Place,1200,3,Apartment,Fully Furnished,15500000
Central Delhi,Karol Bagh,1000,2,Apartment,Semi-Furnished,12800000
Central Delhi,Paharganj,800,2,Apartment,Unfurnished,9500000
Central Delhi,Rajendra Place,950,2,Apartment,Semi-Furnished,11200000
Central Delhi,Patel Nagar,850,2,Apartment,Unfurnished,10200000
South Delhi,Greater Kailash I,1400,3,Apartment,Fully Furnished,18500000
South Delhi,Defence Colony,1300,3,Apartment,Semi-Furnished,17200000
South Delhi,Lajpat Nagar,900,2,Apartment,Semi-Furnished,11800000
South Delhi,Green Park,1100,3,Apartment,Fully Furnished,14500000
South Delhi,Hauz Khas,1200,3,Apartment,Semi-Furnished,15800000
North Delhi,Civil Lines,1000,2,Apartment,Semi-Furnished,12200000
North Delhi,Model Town,1100,3,Apartment,Unfurnished,13500000
North Delhi,Kamla Nagar,750,1,Apartment,Semi-Furnished,8800000
North Delhi,Tis Hazari,650,1,Studio,Unfurnished,7200000
North Delhi,Mall Road,900,2,Apartment,Semi-Furnished,10500000
West Delhi,Janakpuri,1200,3,Apartment,Semi-Furnished,14200000
West Delhi,Rajouri Garden,950,2,Apartment,Unfurnished,11500000
West Delhi,Tilak Nagar,800,2,Apartment,Semi-Furnished,9800000
West Delhi,Subhash Nagar,900,2,Apartment,Semi-Furnished,10800000
West Delhi,Kirti Nagar,1000,2,Apartment,Unfurnished,12200000
East Delhi,Preet Vihar,850,2,Apartment,Semi-Furnished,9800000
East Delhi,Laxmi Nagar,750,1,Apartment,Unfurnished,8200000
East Delhi,Patparganj,900,2,Apartment,Semi-Furnished,10500000
East Delhi,Mayur Vihar,1100,3,Apartment,Semi-Furnished,12800000
East Delhi,Vasundhara Enclave,1000,2,Apartment,Fully Furnished,13200000
New Delhi,Lutyens Delhi,2000,4,Villa,Fully Furnished,45000000
New Delhi,Khan Market,1500,3,Apartment,Fully Furnished,28000000
New Delhi,India Gate,1800,4,Apartment,Fully Furnished,35000000
New Delhi,Rajpath Area,1600,3,Apartment,Semi-Furnished,32000000
New Delhi,Barakhamba Road,1200,2,Apartment,Fully Furnished,22000000
South Delhi,Vasant Kunj,1300,3,Villa,Semi-Furnished,16800000
South Delhi,Saket,1400,3,Apartment,Fully Furnished,17500000
South Delhi,Malviya Nagar,1000,2,Apartment,Semi-Furnished,12500000
South Delhi,CR Park,1100,3,Apartment,Semi-Furnished,13800000
South Delhi,Kalkaji,900,2,Apartment,Unfurnished,10800000
North Delhi,GTB Nagar,800,1,Apartment,Semi-Furnished,9200000
North Delhi,Roop Nagar,950,2,Apartment,Unfurnished,10500000
North Delhi,Ashok Vihar,1200,3,Apartment,Semi-Furnished,13500000
North Delhi,Pitampura,1100,2,Apartment,Semi-Furnished,12800000
North Delhi,Shalimar Bagh,1000,2,Apartment,Unfurnished,11500000
West Delhi,Punjabi Bagh,950,2,Apartment,Semi-Furnished,11200000
West Delhi,Mayapuri,800,2,Apartment,Unfurnished,9200000
West Delhi,Naraina,900,2,Apartment,Semi-Furnished,10500000
West Delhi,Motihari,1100,3,Apartment,Semi-Furnished,12800000
West Delhi,Uttam Nagar,850,2,Apartment,Unfurnished,9800000
