district,sub_district,area_sqft,bhk,property_type,furnishing,price
Bangalore Urban,Whitefield,1200,3,Apartment,Fully Furnished,8500000
Bangalore Urban,Electronic City,1100,2,Apartment,Semi-Furnished,7200000
Bangalore Urban,Koramangala,1000,2,Apartment,Fully Furnished,8800000
Bangalore Urban,Indiranagar,1300,3,Apartment,Fully Furnished,10500000
Bangalore Urban,HSR Layout,1150,3,Apartment,Semi-Furnished,8200000
Bangalore Urban,BTM Layout,950,2,Apartment,Semi-Furnished,6800000
Bangalore Urban,Jayanagar,1100,3,Apartment,Semi-Furnished,7800000
Bangalore Urban,JP Nagar,1000,2,Apartment,Semi-Furnished,7000000
Bangalore Urban,Banashankari,900,2,Apartment,Unfurnished,6200000
Bangalore Urban,Basavanagudi,850,2,Apartment,Semi-Furnished,6500000
Bangalore Urban,Malleshwaram,1200,3,Apartment,Semi-Furnished,8500000
Bangalore Urban,Rajajinagar,1000,2,Apartment,Semi-Furnished,7200000
Bangalore Urban,Seshadripuram,950,2,Apartment,Semi-Furnished,6800000
Bangalore Urban,Sadashivanagar,1400,4,Villa,Fully Furnished,12500000
Bangalore Urban,Cunningham Road,1300,3,Apartment,Fully Furnished,10200000
Bangalore Urban,Brigade Road,1100,2,Apartment,Fully Furnished,9200000
Bangalore Urban,MG Road,1000,2,Apartment,Fully Furnished,8800000
Bangalore Urban,Commercial Street,900,1,Studio,Fully Furnished,7500000
Bangalore Urban,UB City Mall,1500,3,Penthouse,Fully Furnished,15000000
Bangalore Urban,Cubbon Park,1200,3,Apartment,Semi-Furnished,9500000
Bangalore Urban,Marathahalli,1100,3,Apartment,Semi-Furnished,7800000
Bangalore Urban,Sarjapur Road,1200,3,Apartment,Semi-Furnished,8200000
Bangalore Urban,Outer Ring Road,1300,3,Apartment,Fully Furnished,9200000
Bangalore Urban,Bellandur,1000,2,Apartment,Semi-Furnished,7500000
Bangalore Urban,Varthur,1150,3,Apartment,Semi-Furnished,8000000
Bangalore Urban,Bagmane Tech Park,1100,2,Apartment,Fully Furnished,8200000
Bangalore Urban,Manyata Tech Park,1200,3,Apartment,Fully Furnished,8800000
